NO.,NAME,POS,AGE,HT,WT,COLLEGE
2,Kawhi Leonard,SF,23,6-7,230,San Diego State
52,Jordan McRae,SG,23,6-6,185,Tennessee
8,Patty Mills,PG,25,6-0,185,Saint Mary's
9,Tony Parker,PG,32,6-2,185 
22,Tiago Splitter,C,29,6-11,245 
13,Dwight Buycks,PG,25,6-3,190,Marquette
20,Bruno Caboclo,SF,18,6-9,200 
2,DeAndre Daniels,SF,22,6-9,195,Connecticut
3,Nando de Colo,PG,27,6-5,195 
10,DeMar DeRozan,SG,24,6-7,216,USC
2,Landry Fields,SF,26,6-7,215,Stanford
50,Tyler Hansbrough,PF,28,6-9,250,North Carolina
44,Chuck Hayes,PF,31,6-6,250,Kentucky
15,Amir Johnson,PF,27,6-9,210 
7,Kyle Lowry,PG,28,6-0,205,Villanova
--,Lucas Nogueira,C,21,7-0,215 
16,Steve Novak,SF,31,6-10,235,Marquette
54,Patrick Patterson,PF,25,6-9,235,Kentucky
31,Terrence Ross,SF,23,6-6,195,Washington
77,Julyan Stone,SG,25,6-6,200,UTEP
2,Xavier Thames,PG,23,6-3,195,San Diego State
17,Jonas Valanciunas,C,22,6-11,231 
21,Greivis Vasquez,PG,27,6-6,211,Maryland
--,Louis Williams,SG,27,6-1,175 
3,Trey Burke,PG,21,6-1,190,Michigan
10,Alec Burks,PG,22,6-6,211,Colorado
21,Ian Clark,SG,23,6-3,173,Belmont
40,Jeremy Evans,SF,26,6-9,197,Western Kentucky
--,Dante Exum,SG,18,6-5,190 
15,Derrick Favors,C,22,6-10,268,Georgia Tech
8,Diante Garrett,PG,25,6-4,190,Iowa State
27,Rudy Gobert,C,22,7-1,245 
20,Gordon Hayward,SG,24,6-8,220,Butler
5,Rodney Hood,SG,21,6-8,215,Duke
24,Richard Jefferson,SF,34,6-7,234,Arizona
0,Enes Kanter,C,22,6-11,247,Kentucky
5,John Lucas III,PG,31,5-11,166,Oklahoma State
33,Erik Murphy,PF,23,6-10,230,Florida
25,Brandon Rush,SG,29,6-6,233,Kansas
22,Malcolm Thomas,PF,25,6-9,225,San Diego State
2,Marvin Williams,PF,28,6-9,237,North Carolina
1,Trevor Ariza,SF,29,6-8,220,UCLA
3,Bradley Beal,SG,21,6-5,207,Florida
35,Trevor Booker,PF,26,6-8,235,Clemson
90,Drew Gooden,PF,32,6-10,250,Kansas
4,Marcin Gortat,C,30,6-11,240 
42,Nene Hilario,PF,31,6-11,250 
24,Andre Miller,PG,38,6-2,200,Utah
22,Otto Porter Jr.,SF,21,6-8,198,Georgetown
14,Glen Rice Jr.,SG,23,6-6,206,Georgia Tech
13,Kevin Seraphin,C,24,6-10,278 
31,Chris Singleton,SF,24,6-9,228,Florida State
17,Garrett Temple,SG,28,6-6,195,LSU
2,John Wall,PG,23,6-4,195,Kentucky
9,Martell Webster,SF,27,6-7,230 
