RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Henry Sims,CLE/PHI,46,19.0,.535,12.4,9.8,14.6,12.5,17.2,14.7,16.14,72.4,2.4
D.J. Stephens,MIL,3,5.0,.470,0.0,0.0,20.3,7.4,31.6,19.1,16.12,1.3,0.0
Nick Young,LAL,64,28.3,.564,7.9,7.9,24.1,1.7,8.1,4.9,16.11,151.6,5.1
Arron Afflalo,ORL,73,35.0,.574,16.0,9.4,21.9,1.4,10.2,5.8,16.09,212.8,7.1
Taj Gibson,CHI,82,28.7,.524,7.2,11.9,21.2,9.8,17.1,13.5,16.09,161.0,5.4
Ramon Sessions,MIL/CHA,83,26.7,.539,23.7,10.3,21.5,1.9,8.6,5.2,16.04,166.5,5.6
C.J. Miles,CLE,51,19.3,.569,9.7,8.2,20.6,2.0,9.9,5.9,16.03,81.2,2.7
Troy Daniels,HOU,5,15.0,.677,12.8,7.7,18.5,0.0,5.6,3.0,16.01,6.2,0.2
Ed Davis,MEM,63,15.2,.542,6.8,10.1,16.5,11.4,20.9,16.1,15.99,64.0,2.1
Vince Carter,DAL,81,24.4,.539,17.4,8.9,21.9,4.0,12.6,8.3,15.97,161.2,5.4
Chandler Parsons,HOU,74,37.6,.565,19.5,9.4,18.6,2.9,12.8,8.2,15.90,224.3,7.5
Jimmer Fredette,CHI/SAC,49,10.6,.578,18.4,13.8,25.9,1.7,9.7,5.7,15.88,37.8,1.3
Trevor Ariza,WSH,77,35.4,.590,15.1,10.5,16.8,4.1,16.3,10.1,15.87,218.4,7.3
Nicolas Batum,POR,82,36.0,.589,27.3,13.5,16.8,4.3,17.8,11.1,15.86,236.7,7.9
Alec Burks,UTAH,78,28.1,.547,15.6,11.0,22.8,3.0,10.7,6.8,15.82,157.8,5.3
Spencer Hawes,CLE/PHI,80,30.9,.554,17.6,12.7,19.8,5.6,24.2,14.6,15.77,190.6,6.4
Wesley Matthews,POR,82,33.9,.588,13.6,7.6,18.7,2.0,9.1,5.6,15.70,215.9,7.2
Enes Kanter,UTAH,80,26.7,.523,6.5,12.4,21.4,11.6,20.9,16.1,15.70,162.7,5.4
Brandon Jennings,DET,80,34.1,.486,29.0,10.2,24.6,2.2,7.8,4.9,15.67,190.0,6.3
Tony Allen,MEM,55,23.2,.531,14.5,13.8,19.2,7.3,12.0,9.6,15.64,98.1,3.3
Nate Robinson,DEN,44,19.7,.544,19.0,9.8,22.8,2.6,7.5,5.0,15.64,60.0,2.0
Michael Carter-Williams,PHI,70,34.5,.480,23.2,13.0,25.3,4.3,15.6,9.8,15.59,165.4,5.5
MarShon Brooks,BOS/GS/LAL,35,9.0,.551,12.9,12.4,21.2,0.0,0.0,0.0,15.58,24.0,0.8
Joe Johnson,BKN,79,32.6,.564,15.0,8.3,20.7,2.2,10.3,6.3,15.54,193.5,6.5
James Jones,MIA,20,11.8,.666,10.5,4.7,14.0,1.1,10.8,6.1,15.47,17.5,0.6
Amir Johnson,TOR,77,28.8,.592,12.6,13.5,15.4,9.0,17.6,13.3,15.44,130.2,4.3
Reggie Jackson,OKC,80,28.5,.527,22.2,11.3,22.0,2.2,12.8,7.8,15.43,150.6,5.0
Tyler Zeller,CLE,70,15.0,.581,8.2,13.7,15.9,10.8,19.6,15.1,15.43,75.5,2.5
Ricky Rubio,MIN,82,32.2,.491,40.9,12.9,18.3,2.5,11.9,7.1,15.35,171.3,5.7
Mike Scott,ATL,80,18.5,.559,8.9,9.4,21.2,4.9,17.2,11.1,15.34,85.0,2.8
Jermaine O'Neal,GS,44,20.1,.570,6.5,13.6,16.2,10.7,19.1,15.0,15.34,62.5,2.1
Rajon Rondo,BOS,30,33.3,.461,38.1,12.8,23.2,2.4,16.6,9.3,15.34,64.6,2.2
Mike Harris,UTAH,20,11.3,.576,5.6,12.4,15.7,7.4,9.5,8.4,15.31,0.0,0.0
Miroslav Raduljica,MIL,48,9.7,.603,11.4,13.9,16.3,12.9,13.7,13.3,15.31,32.7,1.1
Kelly Olynyk,BOS,70,20.0,.546,14.1,13.8,20.0,11.0,18.8,14.8,15.27,97.5,3.3
Jeff Withey,NO,58,11.8,.590,12.6,9.7,11.3,8.2,17.4,12.7,15.25,47.5,1.6
